Entity,Label,Avg_Sentiment,Sentiment_Category
Nissan Leaf,ORG,0.49,Neutral
MG,ORG,0.596,Neutral
VW ID,MISC,0.694,Positive
Zoe,ORG,0.709,Positive
World,LOC,0.814,Very Positive
Sko,ORG,0.775,Positive
VW E,MISC,0.496,Neutral
Mi,ORG,0.352,Low
Neo,MISC,0.521,Neutral
Ya,PER,0.487,Neutral
Pick,MISC,0.619,Positive
Fiat,MISC,0.727,Positive
Up,MISC,0.779,Positive
Kodak,ORG,0.445,Neutral
Le,MISC,0.754,Positive
MG,MISC,0.647,Positive
Ford,MISC,0.613,Positive
Andy,PER,0.789,Positive
Siemens,ORG,0.692,Positive
Munich,LOC,0.723,Positive
BMW iX,MISC,0.52,Neutral
Genesis,ORG,0.652,Positive
Gen,ORG,0.62,Positive
As,PER,0.762,Positive
TV,MISC,0.633,Positive
Charlie,PER,0.758,Positive
Cit,MISC,0.653,Positive
Oli,MISC,0.717,Positive
Alberta,LOC,0.455,Neutral
Citroen,ORG,0.63,Positive
Democratic,MISC,0.653,Positive
Lego,MISC,0.74,Positive
MI,MISC,0.566,Neutral
St,ORG,0.62,Positive
Panda,MISC,0.626,Positive
DS,MISC,0.811,Very Positive
Citroën,MISC,0.332,Low
CarPlay,MISC,0.461,Neutral
Le,ORG,0.604,Positive
Polestar,ORG,0.503,Neutral
FIAT,ORG,0.545,Neutral
FCA,ORG,0.603,Positive
Ki,LOC,0.493,Neutral
Am,PER,0.724,Positive
Car,ORG,0.635,Positive
Am,ORG,0.718,Positive
California,MISC,0.724,Positive
Honda Element,MISC,0.778,Positive
MG4,MISC,0.725,Positive
The,MISC,0.632,Positive
Bon,PER,0.331,Low
Chevy,ORG,0.728,Positive
Subaru,ORG,0.527,Neutral
Audi,MISC,0.554,Neutral
Son,PER,0.362,Low
Birmingham,LOC,0.714,Positive
Ion,ORG,0.647,Positive
Citroen,MISC,0.793,Positive
Zoe,PER,0.605,Positive
Saturn,ORG,0.685,Positive
AM,MISC,0.866,Very Positive
Le,PER,0.504,Neutral
Fi,MISC,0.53,Neutral
Fiat Panda,MISC,0.613,Positive
Bo,ORG,0.543,Neutral
Italy,LOC,0.562,Neutral
McLaren,ORG,0.738,Positive
Plaid,MISC,0.664,Positive
Co,PER,0.49,Neutral
Ford Mustang,MISC,0.531,Neutral
One,MISC,0.601,Positive
Ram,ORG,0.77,Positive
Lamborghini,MISC,0.815,Very Positive
Benz,ORG,0.518,Neutral
Heaven,LOC,0.591,Neutral
Po,PER,0.501,Neutral
Jaguar,ORG,0.608,Positive
Pace,MISC,0.735,Positive
Model,MISC,0.572,Neutral
Na,PER,0.448,Neutral
Luc,MISC,0.535,Neutral
Porsche Taycan,MISC,0.655,Positive
Amsterdam,LOC,0.708,Positive
Daily Mail,ORG,0.447,Neutral
Mazda,ORG,0.633,Positive
Lotus,ORG,0.568,Neutral
Oxford,LOC,0.702,Positive
I3,MISC,0.613,Positive
Time,MISC,0.7,Positive
Alpine,MISC,0.352,Low
Ra,PER,0.386,Low
R5,MISC,0.777,Positive
VI,ORG,0.719,Positive
Lexus,MISC,0.692,Positive
Mini E,MISC,0.709,Positive
Philippines,LOC,0.673,Positive
Wuling,ORG,0.737,Positive
Android,MISC,0.65,Positive
New Zealand,LOC,0.518,Neutral
Waymo,ORG,0.723,Positive
Wuling Mini E,MISC,0.585,Neutral
Tesla Cybertruck,MISC,0.55,Neutral
Nissan Sakura,MISC,0.537,Neutral
Ta,PER,0.566,Neutral
Suzuki,ORG,0.67,Positive
UN,ORG,0.512,Neutral
Google,MISC,0.592,Neutral
C +,MISC,0.691,Positive
Mo,MISC,0.573,Neutral
Indonesia,LOC,0.368,Low
James May,PER,0.587,Neutral
Op,PER,0.622,Positive
Road,MISC,0.641,Positive
Sato,PER,0.53,Neutral
Elliott,PER,0.713,Positive
Honda Civic,MISC,0.691,Positive
Jesus,PER,0.51,Neutral
El,MISC,0.538,Neutral
Kona Electric,ORG,0.514,Neutral
Hitler,PER,0.408,Neutral
Honda Fit,MISC,0.796,Positive
Manchester,LOC,0.679,Positive
Ami,MISC,0.508,Neutral
Panasonic,ORG,0.465,Neutral
Nokia,ORG,0.626,Positive
Vauxhall,ORG,0.677,Positive
Grande Panda,MISC,0.615,Positive
Pan,MISC,0.782,Positive
Pandas,MISC,0.709,Positive
Do,PER,0.525,Neutral
Hybrid,MISC,0.664,Positive
CA,ORG,0.602,Positive
Stellantis,ORG,0.566,Neutral
TO,MISC,0.514,Neutral
MG ZS E,MISC,0.749,Positive
Arab,MISC,0.313,Low
Pet,ORG,0.767,Positive
C3,MISC,0.673,Positive
Brazil,LOC,0.499,Neutral
Michael,PER,0.689,Positive
Poland,LOC,0.707,Positive
Oscar,MISC,0.691,Positive
Battery,ORG,0.732,Positive
YouTube,LOC,0.427,Neutral
Mini,ORG,0.612,Positive
VW Golf,MISC,0.511,Neutral
Jeremy Clarkson,PER,0.466,Neutral
NA,ORG,0.723,Positive
EV,MISC,0.647,Positive
non,MISC,0.567,Neutral
Kia Soul,MISC,0.447,Neutral
E - Golf,MISC,0.683,Positive
Cyber,ORG,0.575,Neutral
OEM,ORG,0.572,Neutral
In,MISC,0.733,Positive
ID. 4,MISC,0.714,Positive
ID,ORG,0.514,Neutral
LR,MISC,0.74,Positive
Inverness,LOC,0.783,Positive
Hungary,LOC,0.699,Positive
Tony Seba,PER,0.643,Positive
CATL,ORG,0.572,Neutral
Microsoft,ORG,0.645,Positive
People,MISC,0.698,Positive
MG5,MISC,0.567,Neutral
Honda Cub,MISC,0.625,Positive
Shanghai Customs,ORG,0.65,Positive
Cubs,ORG,0.569,Neutral
Malaysia,LOC,0.53,Neutral
Ba,MISC,0.74,Positive
BR,MISC,0.649,Positive
Starbucks,ORG,0.523,Neutral
eB,ORG,0.772,Positive
Go,PER,0.511,Neutral
Ch,LOC,0.518,Neutral
Nissan Leafs,MISC,0.579,Neutral
Vespa,MISC,0.841,Very Positive
Peru,LOC,0.651,Positive
eBay,MISC,0.578,Neutral
Maddie,PER,0.782,Positive
Greg,PER,0.781,Positive
Cambridge,LOC,0.658,Positive
Copenhagen,LOC,0.773,Positive
Leeds,LOC,0.69,Positive
Raleigh,ORG,0.681,Positive
Sheffield,LOC,0.629,Positive
Yorkshire,LOC,0.705,Positive
Ka,PER,0.739,Positive
Sc,MISC,0.539,Neutral
Spa,PER,0.451,Neutral
Dundee,LOC,0.785,Positive
West Yorkshire,LOC,0.704,Positive
Bo,PER,0.502,Neutral
Diesel,ORG,0.622,Positive
Devon,LOC,0.655,Positive
Niro,MISC,0.647,Positive
New York State,LOC,0.766,Positive
Gocycle,MISC,0.65,Positive
Ra,MISC,0.712,Positive
Helen,PER,0.831,Very Positive
eB,MISC,0.7,Positive
Pro,MISC,0.736,Positive
Love,PER,0.911,Very Positive
Corona,MISC,0.578,Neutral
You Tube,ORG,0.544,Neutral
NE,MISC,0.491,Neutral
Rob,PER,0.711,Positive
Bosch,ORG,0.52,Neutral
BTW,ORG,0.671,Positive
Netflix,ORG,0.485,Neutral
Netflix,MISC,0.535,Neutral
Oh,MISC,0.794,Positive
CO,ORG,0.592,Neutral
Cornwall,LOC,0.627,Positive
Van Mo,PER,0.744,Positive
Massachusetts,LOC,0.483,Neutral
S3,MISC,0.751,Positive
Van Moof,PER,0.53,Neutral
Van,PER,0.619,Positive
Van Moof S3,MISC,0.894,Very Positive
Ho,MISC,0.685,Positive
Van Moof,MISC,0.757,Positive
Yamaha,ORG,0.691,Positive
Mo,ORG,0.7,Positive
You,ORG,0.65,Positive
Hi,PER,0.338,Low
Vol,ORG,0.628,Positive
EBike,MISC,0.818,Very Positive
Swedish,MISC,0.556,Neutral
Elec,MISC,0.588,Neutral
John,PER,0.874,Very Positive
Stockholm,LOC,0.911,Very Positive
OR,ORG,0.639,Positive
CAKE,ORG,0.899,Very Positive
Super,ORG,0.707,Positive
Cake,MISC,0.427,Neutral
Oh,ORG,0.867,Very Positive
Sam,PER,0.608,Positive
Swiss,MISC,0.629,Positive
Je,PER,0.481,Neutral
R &,ORG,0.677,Positive
Joe Rogan,PER,0.398,Low
Dan,PER,0.696,Positive
Barnes,LOC,0.841,Very Positive
Berlin,LOC,0.653,Positive
Ontario,LOC,0.646,Positive
Boring,ORG,0.383,Low
Starship,ORG,0.588,Neutral
EAV,ORG,0.716,Positive
Tesco,ORG,0.679,Positive
Arcimo,MISC,0.667,Positive
Adam,PER,0.678,Positive
EA,MISC,0.76,Positive
Ha,MISC,0.641,Positive
Henry Ford,ORG,0.454,Neutral
BR,LOC,0.781,Positive
Go,ORG,0.71,Positive
in,MISC,0.508,Neutral
WHO,ORG,0.655,Positive
Edinburgh,LOC,0.567,Neutral
BBC,ORG,0.515,Neutral
Harley,PER,0.627,Positive
Livewire,MISC,0.738,Positive
En,ORG,0.733,Positive
Charley,PER,0.866,Very Positive
SR,ORG,0.701,Positive
Charley Davidson,PER,0.634,Positive
Tom,PER,0.698,Positive
Fr,ORG,0.452,Neutral
Silverado,MISC,0.672,Positive
ALL,ORG,0.584,Neutral
GRE,MISC,0.903,Very Positive
CH,MISC,0.468,Neutral
Southeast Asia,LOC,0.476,Neutral
General Motors,ORG,0.268,Low
Government,ORG,0.648,Positive
Ko,MISC,0.715,Positive
Aircon,ORG,0.768,Positive
Chan,ORG,0.747,Positive
Leaf,PER,0.652,Positive
South America,LOC,0.479,Neutral
CyberTru,ORG,0.649,Positive
Tiger,MISC,0.416,Neutral
Austin,ORG,0.639,Positive
Tel,ORG,0.557,Neutral
MG ZS,MISC,0.681,Positive
Iraq,LOC,0.438,Neutral
Carver,ORG,0.848,Very Positive
Cha,MISC,0.474,Neutral
SpaceX,ORG,0.58,Neutral
Now,MISC,0.488,Neutral
TSLA,ORG,0.614,Positive
He,PER,0.656,Positive
NIU,ORG,0.559,Neutral
Ma,ORG,0.621,Positive
Chad,ORG,0.448,Neutral
Zappi,MISC,0.654,Positive
Glasgow,LOC,0.713,Positive
Putin,PER,0.529,Neutral
Global,ORG,0.567,Neutral
Oil,ORG,0.483,Neutral
Boris,PER,0.587,Neutral
Green,MISC,0.39,Low
Exxon,ORG,0.537,Neutral
Republican,MISC,0.543,Neutral
Octopus,ORG,0.804,Very Positive
Po,ORG,0.67,Positive
Al Gore,PER,0.567,Neutral
ESG,ORG,0.479,Neutral
CCS,ORG,0.49,Neutral
Pa,PER,0.521,Neutral
Ionic,MISC,0.597,Neutral
ABC,ORG,0.441,Neutral
Zoe ZE40,MISC,0.649,Positive
ABB,ORG,0.595,Neutral
Frankenstein,PER,0.579,Neutral
CHA,ORG,0.559,Neutral
CHAdeMO,ORG,0.316,Low
Leafs,MISC,0.602,Positive
Chevrolet,ORG,0.527,Neutral
Bolt,MISC,0.728,Positive
Celsius,MISC,0.612,Positive
Lightning,MISC,0.638,Positive
BMS,ORG,0.496,Neutral
Baltic,MISC,0.645,Positive
Cybertruck,ORG,0.61,Positive
ISO,MISC,0.549,Neutral
MB,ORG,0.663,Positive
Model3,MISC,0.577,Neutral
Range,MISC,0.575,Neutral
SR +,MISC,0.804,Very Positive
MG E,MISC,0.638,Positive
LP,ORG,0.424,Neutral
Chargers,ORG,0.651,Positive
Chiang Mai,LOC,0.691,Positive
Leafs,ORG,0.437,Neutral
Mexican,MISC,0.546,Neutral
Autotrader,ORG,0.748,Positive
Harry,PER,0.688,Positive
Tesla Model S,MISC,0.706,Positive
EVM,ORG,0.722,Positive
Yorkshire,ORG,0.777,Positive
NATO,ORG,0.242,Low
LP,MISC,0.506,Neutral
Maine,LOC,0.594,Neutral
Octopus,MISC,0.813,Very Positive
Ohme,MISC,0.783,Positive
Chargers,MISC,0.67,Positive
BP Pulse,ORG,0.759,Positive
Yorkshire,MISC,0.673,Positive
Ohme,ORG,0.738,Positive
Oct,MISC,0.828,Very Positive
PS,MISC,0.362,Low
Zap,PER,0.469,Neutral
Amazing,MISC,0.869,Very Positive
MG Z,MISC,0.786,Positive
EDF,ORG,0.879,Very Positive
Oct,ORG,0.814,Very Positive
Ionity,ORG,0.607,Positive
Octopus Go,MISC,0.755,Positive
RF,MISC,0.641,Positive
Lidl,ORG,0.671,Positive
Petrol,ORG,0.592,Neutral
Osprey,ORG,0.612,Positive
Instavolt,ORG,0.668,Positive
Chargepoint,ORG,0.629,Positive
Map,ORG,0.47,Neutral
ChargePoint,ORG,0.779,Positive
Source London,ORG,0.58,Neutral
Polar,ORG,0.672,Positive
Highway,MISC,0.446,Neutral
Polar,MISC,0.812,Very Positive
Northern Ireland,LOC,0.541,Neutral
Me,MISC,0.742,Positive
McDonalds,ORG,0.604,Positive
Sentry Mode,MISC,0.515,Neutral
Dave,PER,0.618,Positive
Mode,MISC,0.302,Low
Chester,LOC,0.753,Positive
ZE50,MISC,0.375,Low
Vehicle,ORG,0.611,Positive
Missouri,LOC,0.53,Neutral
Highway Code,MISC,0.472,Neutral
Ford Focus,MISC,0.686,Positive
Arkansas,LOC,0.469,Neutral
Outlander,MISC,0.751,Positive
Super,MISC,0.789,Positive
Melbourne,LOC,0.535,Neutral
ZE40,MISC,0.468,Neutral
Ta,MISC,0.584,Neutral
NC,LOC,0.786,Positive
RA,ORG,0.475,Neutral
Vegas,LOC,0.558,Neutral
East Coast,LOC,0.73,Positive
New England,LOC,0.651,Positive
New Mexico,LOC,0.621,Positive
Norfolk,LOC,0.554,Neutral
Man,MISC,0.601,Positive
Service,ORG,0.567,Neutral
ET,ORG,0.551,Neutral
E Niro,MISC,0.655,Positive
Govt,ORG,0.657,Positive
Oh,PER,0.63,Positive
Go,MISC,0.72,Positive
OHME,ORG,0.796,Positive
SA,ORG,0.287,Low
EVW,ORG,0.92,Very Positive
Virginia,LOC,0.658,Positive
Vol,MISC,0.56,Neutral
Engine,ORG,0.823,Very Positive
Costco,ORG,0.641,Positive
Pi,ORG,0.529,Neutral
National Grid,ORG,0.607,Positive
Satan,PER,0.62,Positive
Cobalt,ORG,0.537,Neutral
Hope,PER,0.887,Very Positive
Energy,ORG,0.823,Very Positive
Democrat,MISC,0.431,Neutral
So,PER,0.585,Neutral
Yakima,ORG,0.361,Low
MA,LOC,0.681,Positive
REI,ORG,0.453,Neutral
Home Depot,ORG,0.601,Positive
NH,LOC,0.63,Positive
Facebook,ORG,0.559,Neutral
Birch,MISC,0.67,Positive
& Jesse,ORG,0.813,Very Positive
Tesla Insurance,ORG,0.736,Positive
Jesse,PER,0.711,Positive
NH,ORG,0.656,Positive
Maryland,LOC,0.601,Positive
Rivian,ORG,0.568,Neutral
Zack,PER,0.643,Positive
Rich,PER,0.763,Positive
Christ,PER,0.651,Positive
Israel,LOC,0.505,Neutral
IP,MISC,0.37,Low
Silicon Valley,LOC,0.656,Positive
Lightning,ORG,0.524,Neutral
F150 Lightning,MISC,0.687,Positive
Adventure,MISC,0.631,Positive
America,MISC,0.529,Neutral
Electrify America,ORG,0.521,Neutral
Cyber Truck,ORG,0.579,Neutral
Electri,ORG,0.377,Low
Ionic 5,MISC,0.642,Positive
Steve Job,PER,0.754,Positive
MA,PER,0.538,Neutral
SC,ORG,0.723,Positive
Atlas,ORG,0.66,Positive
Las Vegas,LOC,0.473,Neutral
SpaceX,MISC,0.609,Positive
Tacoma,MISC,0.672,Positive
Cape,LOC,0.753,Positive
Electrify,ORG,0.438,Neutral
Now You Know,ORG,0.742,Positive
EVgo,ORG,0.744,Positive
F - 150 Lightning,MISC,0.819,Very Positive
Apple Carplay,MISC,0.452,Neutral
Spotify,ORG,0.714,Positive
NEMA,MISC,0.608,Positive
VA,LOC,0.636,Positive
Truck,MISC,0.575,Neutral
Illinois,LOC,0.483,Neutral
Supercharger,MISC,0.666,Positive
Z & J,ORG,0.697,Positive
Jessie,PER,0.646,Positive
UAW,ORG,0.619,Positive
Twitter,ORG,0.515,Neutral
Zac,PER,0.618,Positive
Zach,PER,0.624,Positive
Jess,PER,0.729,Positive
CyberT,ORG,0.641,Positive
Giga,MISC,0.75,Positive
GA,LOC,0.653,Positive
Jeff Bezos,PER,0.491,Neutral
Starlink,MISC,0.481,Neutral
Jeff,PER,0.505,Neutral
Now You Know,MISC,0.784,Positive
Youtube,ORG,0.521,Neutral
Self Driving,MISC,0.607,Positive
NYK,MISC,0.677,Positive
Milwaukee,LOC,0.708,Positive
Self,MISC,0.594,Neutral
CyberTruck,MISC,0.677,Positive
PBS,ORG,0.378,Low
CyberTruck,ORG,0.798,Positive
MAGA,ORG,0.631,Positive
Russians,MISC,0.412,Neutral
Elon,PER,0.487,Neutral
NYK,ORG,0.752,Positive
FBI,ORG,0.409,Neutral
FSD,ORG,0.606,Positive
EnergyX,ORG,0.665,Positive
Be,PER,0.504,Neutral
Puerto Rico,LOC,0.561,Neutral
Tea,PER,0.46,Neutral
te,ORG,0.566,Neutral
You,MISC,0.673,Positive
Saudi,MISC,0.484,Neutral
Sandy,PER,0.494,Neutral
FSD Beta,MISC,0.48,Neutral
Congo,LOC,0.61,Positive
Poliloop,ORG,0.671,Positive
Venus,LOC,0.583,Neutral
Zack & Jesse,ORG,0.484,Neutral
Loop,MISC,0.427,Neutral
Elon Mu,ORG,0.606,Positive
Venezuela,LOC,0.566,Neutral
IEA,ORG,0.51,Neutral
Michael Moore,PER,0.532,Neutral
Idaho,LOC,0.513,Neutral
CC,MISC,0.577,Neutral
Bitcoin,ORG,0.362,Low
Middle East,LOC,0.514,Neutral
Tesla Solar,ORG,0.598,Neutral
Warren,PER,0.503,Neutral
CNN,ORG,0.545,Neutral
NBC,ORG,0.529,Neutral
Ross,PER,0.623,Positive
Saudi Arabia,LOC,0.486,Neutral
Iran,LOC,0.4,Low
Pat,MISC,0.608,Positive
Obama,PER,0.52,Neutral
San Antonio,LOC,0.569,Neutral
Russ,PER,0.541,Neutral
Volt,MISC,0.74,Positive
Teslabot,MISC,0.41,Neutral
Op,MISC,0.673,Positive
AI,ORG,0.681,Positive
Boston Dynamics,ORG,0.726,Positive
Teslabot,ORG,0.514,Neutral
Robot,ORG,0.518,Neutral
Tesla Bot,MISC,0.471,Neutral
TeslaBot,ORG,0.726,Positive
Alex,ORG,0.747,Positive
iRobot,ORG,0.656,Positive
UBI,ORG,0.634,Positive
Moon,LOC,0.582,Neutral
Robot,MISC,0.633,Positive
Roomba,ORG,0.815,Very Positive
Tesla Bots,MISC,0.815,Very Positive
TTN,ORG,0.784,Positive
EGO,ORG,0.823,Very Positive
Patreon,ORG,0.659,Positive
& Jessie,ORG,0.83,Very Positive
Mitch,PER,0.94,Very Positive
Bernie,PER,0.566,Neutral
Austin,PER,0.709,Positive
Austin Meyer,PER,0.718,Positive
Zac & Jesse,ORG,0.744,Positive
Bill,MISC,0.433,Neutral
Bernie Sanders,PER,0.604,Positive
Andrew Yang,PER,0.648,Positive
Fed,ORG,0.698,Positive
White House,LOC,0.641,Positive
Gates,PER,0.482,Neutral
IS,ORG,0.389,Low
Adams,PER,0.467,Neutral
East Texas,LOC,0.446,Neutral
Patent,MISC,0.511,Neutral
Einstein,PER,0.498,Neutral
MSM,ORG,0.524,Neutral
Bill,PER,0.59,Neutral
Senate,ORG,0.577,Neutral
Nikola Tesla,PER,0.682,Positive
Thor,MISC,0.56,Neutral
Steve Jobs,PER,0.506,Neutral
Ample,ORG,0.798,Positive
Hornsdale,LOC,0.381,Low
Ambri,ORG,0.805,Very Positive
Elon,MISC,0.633,Positive
Lordstown,LOC,0.369,Low
AT & T,ORG,0.358,Low
Lightening,MISC,0.596,Neutral
Big Auto,ORG,0.644,Positive
Elon Musk,PER,0.663,Positive
Motorola,ORG,0.604,Positive
Boeing,ORG,0.5,Neutral
Solar City,ORG,0.761,Positive
Ukrainian,MISC,0.388,Low
Triodos,ORG,0.561,Neutral
Bank Australia,ORG,0.467,Neutral
Warren Redlich,PER,0.507,Neutral
Tesla Service,ORG,0.587,Neutral
Gordon Johnson,PER,0.675,Positive
Service Center,ORG,0.626,Positive
Center,LOC,0.468,Neutral
Texas,ORG,0.557,Neutral
Space X,ORG,0.498,Neutral
Twitter,MISC,0.543,Neutral
Love,MISC,0.86,Very Positive
Bo,LOC,0.646,Positive
Scott Adams,PER,0.371,Low
Musk,PER,0.51,Neutral
FCC,ORG,0.437,Neutral
Free Speech,MISC,0.669,Positive
Elizabeth Warren,PER,0.287,Low
Space X,MISC,0.558,Neutral
Nigerian,MISC,0.341,Low
Babylon Bee,ORG,0.549,Neutral
Twitter,LOC,0.606,Positive
Boring Company,ORG,0.377,Low
Falcon 9,MISC,0.622,Positive
Starship,MISC,0.56,Neutral
Mary,PER,0.629,Positive
Russell Brand,PER,0.437,Neutral
Brand,PER,0.325,Low
Dan O ' Dowd,PER,0.49,Neutral
PayPal,ORG,0.703,Positive
ULA,ORG,0.602,Positive
Atlas V,MISC,0.62,Positive
Delta IV,MISC,0.624,Positive
Edison,PER,0.709,Positive
Car Play,MISC,0.752,Positive
Mach E,MISC,0.698,Positive
Gregory,PER,0.679,Positive
Mach,MISC,0.958,Very Positive
Silverado E,MISC,0.715,Positive
SAE,ORG,0.385,Low
Standard,MISC,0.436,Neutral
Ford & GM,ORG,0.647,Positive
Sandy Monroe,PER,0.46,Neutral
Redlich,PER,0.507,Neutral
Tesla FSD,MISC,0.388,Low
Beta,MISC,0.554,Neutral
Lidar,ORG,0.439,Neutral
Emporia,ORG,0.896,Very Positive
Vincent,PER,0.785,Positive
Van Go,PER,0.728,Positive
Lia,PER,0.807,Very Positive
Don McLean,PER,0.756,Positive
Vincent Van Gogh,PER,0.712,Positive
Don Mclean,PER,0.75,Positive
Theo,PER,0.881,Very Positive
Starry Night,MISC,0.682,Positive
Starry Starry Night,MISC,0.723,Positive
Loving Vincent,MISC,0.913,Very Positive
