Content Creator,Playlist ID,Video ID,Positive Comments,Negative Comments,Neutral Comments,Positive %,Negative %,Neutral %,Overall Sentiment,Number of Topics,Topics
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,qP14huHqims,64,9,46,53.8,7.6,38.7,Positive,10,"bmw i3, tesla, battery warranty, total cost of ownership, range, nissan leaf, degradation, mileage, warranty, battery"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,bW7Aovm7esE,149,16,109,54.4,5.8,39.8,Positive,11,"public charging network, network, tesla, incentive, nissan leaf, charging, hybrid, mileage, suv, charger, home charging"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,nN2gXKS8R4A,88,14,86,46.8,7.4,45.7,Positive,2,"battery, tesla"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,u2XjcI3wa0w,54,8,42,51.9,7.7,40.4,Positive,4,"nissan leaf, network, charging, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,mMNHrP9LS68,98,13,72,53.6,7.1,39.3,Positive,4,"capacity, charge time, charging, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,C8aI4en7Nmk,247,25,159,57.3,5.8,36.9,Positive,7,"tesla, range, nissan leaf, charging, battery, charger, acceleration"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,89BGXSE_1zc,70,7,30,65.4,6.5,28.0,Positive,9,"charger, network, tesla, range, nissan leaf, charging, state of charge, battery, kwh"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,UPFGbY_df2o,8,2,7,47.1,11.8,41.2,Positive,17,"road trip, network, self-driving, ccs, tesla, range, nissan leaf, charging, supercharger, charging station, hybrid, warranty, autopilot, battery, plug-in hybrid, charger, public charging network"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,2xCI8dO-DBY,30,1,26,52.6,1.8,45.6,Positive,0,
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,xVIF1mqcnlY,6,2,18,23.1,7.7,69.2,Positive,19,"thermal management, horsepower, capacity, nissan leaf, charging, public charger, top speed, fast charging, battery, interior design, tesla, range, battery management system, warranty, charging speed, ccs, charger, hybrid, acceleration"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,2BZ1P0697wU,13,2,2,76.5,11.8,11.8,Positive,6,"incentive, tesla, range, charging, autopilot, charger"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,DVG9TWuZShE,5,0,2,71.4,0.0,28.6,Positive,2,"battery, bev"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,QyvEXzww-28,4,1,4,44.4,11.1,44.4,Positive,9,"horsepower, network, tesla, range, charging, supercharger, suv, crossover, handling"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,ROb4VnnnEtk,7,0,3,70.0,0.0,30.0,Positive,22,"thermal management, horsepower, network, total cost of ownership, mileage, suv, capacity, road trip, charging, public charger, fast charging, battery, public charging network, tesla, range, warranty, ccs, charger, hybrid, supercharger, tesla supercharger, plug-in hybrid"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,3EekRRnkq6o,217,47,158,51.4,11.1,37.4,Positive,4,"range, state of charge, warranty, rivian"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,4n4_8_ppb5I,765,196,717,45.6,11.7,42.7,Positive,24,"network, software update, suv, capacity, rivian, road trip, nissan leaf, charging, fast charging, battery, range anxiety, torque, cargo space, tesla, range, electrify america, warranty, charging speed, ccs, charger, supercharger, state of charge, tesla supercharger, charging availability"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,wRa0XtX49bY,135,22,121,48.6,7.9,43.5,Positive,13,"network, tesla, range, electrify america, charging, charging station, mileage, fast charging, charging speed, rivian, battery, charger, acceleration"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,ZVbYNIpE0Yo,95,30,138,36.1,11.4,52.5,Positive,6,"tesla, range, charging, rivian, battery, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,TalYD7Z3QK8,96,12,56,58.5,7.3,34.1,Positive,6,"network, tesla, charging, hybrid, rivian, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,_Rr2fFp1jzg,68,5,31,65.4,4.8,29.8,Positive,3,"network, tesla, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,cXZBZWcgAJI,42,9,37,47.7,10.2,42.0,Positive,0,
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,JUza0fG6y0k,101,11,73,54.6,5.9,39.5,Positive,8,"range, electrify america, charging, fast charging, state of charge, rivian, battery, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,XWenBJEmI_g,65,2,51,55.1,1.7,43.2,Positive,1,drag coefficient
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,E7hjUmiQQZ8,96,16,72,52.2,8.7,39.1,Positive,3,"range, battery, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,PL_hBxK569E,79,11,68,50.0,7.0,43.0,Positive,9,"tesla, incentive, carbon footprint, range, capacity, warranty, battery, lithium-ion, tax credit"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,YMGe2JInlOI,97,12,56,58.8,7.3,33.9,Positive,7,"tesla, range, charging, suv, battery, user interface, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,rKav8JCOV24,28,3,16,59.6,6.4,34.0,Positive,4,"road trip, incentive, tesla, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,bZNybf-pjcU,65,22,59,44.5,15.1,40.4,Positive,2,"incentive, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,IywwSkjlkF4,38,6,24,55.9,8.8,35.3,Positive,7,"horsepower, tesla, range, top speed, suv, ai, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,uH-clPCutyc,512,161,484,44.3,13.9,41.8,Positive,4,"range, battery, byd, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,MCjlk45cUsQ,180,37,144,49.9,10.2,39.9,Positive,13,"road trip, tesla, range, charge time, charging, hybrid, capacity, level 2 charger, rivian, battery, plug-in hybrid, charger, home charging"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,LbAMB1h_ins,255,64,285,42.2,10.6,47.2,Positive,9,"network, torque, self-driving, tesla, charging, mileage, autonomous driving, ai, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,vB78qCS1jvw,279,44,173,56.2,8.9,34.9,Positive,9,"horsepower, self-driving, bms, tesla, charging, top speed, battery, lithium-ion, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,eNGfR1NLpBc,29,4,17,58.0,8.0,34.0,Positive,3,"battery, degradation, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,QwhfZvTmCqI,201,22,116,59.3,6.5,34.2,Positive,12,"energy density, maintenance cost, tesla, battery warranty, carbon footprint, range, degradation, vehicle-to-grid, capacity, warranty, v2g, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,PqdB93lCqHc,286,90,290,42.9,13.5,43.5,Positive,4,"network, incentive, tesla, recall"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,wR-BYZv2n2g,111,13,84,53.4,6.2,40.4,Positive,6,"thermal management, tesla, charging, capacity, battery, lithium-ion"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,aUC6lsLr04I,963,176,908,47.0,8.6,44.4,Positive,2,"tesla, suv"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,8U8s6uetZHY,161,41,138,47.4,12.1,40.6,Positive,3,"charging, tesla, rivian"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,o6rYoKGE8I0,119,20,130,44.2,7.4,48.3,Positive,3,"charging, network, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,IZG7iAMxTUA,525,112,423,49.5,10.6,39.9,Positive,3,"service center, warranty, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,4Kj-SN1NRMY,83,14,51,56.1,9.5,34.5,Positive,3,"self-driving, autopilot, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,o-od9VNytZY,66,28,71,40.0,17.0,43.0,Positive,0,
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,7s8R-2Qg0SM,88,5,44,64.2,3.6,32.1,Positive,2,"supercharger, tesla"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,KTjaUYRDgeg,59,11,28,60.2,11.2,28.6,Positive,12,"road trip, network, self-driving, tesla, range, electrify america, charging, supercharger, charging speed, rivian, battery, charger"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,hjd_bHKcG90,0,0,0,0.0,0.0,0.0,No Comments,0,
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,pWdoOVSzQVE,91,35,92,41.7,16.1,42.2,Positive,4,"ai, capacity, supercharger, tesla"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,2rV33AsoepQ,41,15,48,39.4,14.4,46.2,Positive,6,"network, tesla, charging, supercharger, crossover, ai"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,dN1KtcFLyzI,127,48,127,42.1,15.9,42.1,Positive,2,"ai, tesla"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,wctGM6ZcaPE,117,33,107,45.5,12.8,41.6,Positive,3,"network, tesla, self-driving"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,qRnDhGCYcdA,144,44,142,43.6,13.3,43.0,Positive,1,tesla
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,c0a-2zroALI,157,37,223,37.6,8.9,53.5,Positive,2,"tesla, rivian"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,cSBMpeO9Z-A,70,18,65,45.8,11.8,42.5,Positive,1,tesla
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,YW4UzD7KS1M,78,20,58,50.0,12.8,37.2,Positive,2,"self-driving, tesla"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,SD-zqK47jQs,54,14,45,47.8,12.4,39.8,Positive,3,"ai, capacity, tesla"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,e-Q0iVk6WP8,123,32,138,42.0,10.9,47.1,Positive,7,"network, tesla, range, charging, supercharger, charging speed, battery"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,Yj0ck2nLRuc,143,26,116,50.2,9.1,40.7,Positive,6,"network, tesla, electrify america, charging, supercharger, ai"
Now You Know,PLDn5j59RTWJmc2lGj1pSF0Joi0WXr5bnX,s49jMLLpc6g,195,51,216,42.2,11.0,46.8,Positive,5,"network, tesla, suv, ai, acceleration"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,7s8R-2Qg0SM,88,5,44,64.2,3.6,32.1,Positive,2,"supercharger, tesla"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,0LeYoE7xPxQ,29,5,34,42.6,7.4,50.0,Positive,1,tesla
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,upvH0w5kpfc,98,10,88,50.0,5.1,44.9,Positive,1,tesla
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,fO0RKGd6gDo,265,68,213,48.5,12.5,39.0,Positive,3,"battery, energy density, tesla"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,osR4_6Xh2Pc,209,60,194,45.1,13.0,41.9,Positive,1,tesla
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,djbdvu4vZwU,75,20,105,37.5,10.0,52.5,Positive,1,tesla
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,BpA67BMMyJk,134,60,169,36.9,16.5,46.6,Positive,2,"network, tesla"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,59xSDpFgk5E,46,7,55,42.6,6.5,50.9,Positive,8,"network, tesla, range, charging, supercharger, battery, lithium-ion, charger"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,rELngGpOJyg,68,7,63,49.3,5.1,45.7,Positive,5,"self-driving, tesla, autopilot, autonomous driving, battery"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,Z1N6WbrUgkA,68,10,57,50.4,7.4,42.2,Positive,4,"network, tesla, supercharger, tesla supercharger"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,QyGUHKRbOqk,32,9,37,41.0,11.5,47.4,Positive,3,"autopilot, tesla, autonomous driving"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,Xx4sDyvyU4Q,103,32,95,44.8,13.9,41.3,Positive,4,"charging, all-wheel drive, tesla, autonomous driving"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,eIajx0skkJc,57,14,51,46.7,11.5,41.8,Positive,3,"ai, government policy, tesla"
Now You Know,PLDn5j59RTWJk5LoqD3j1n9XDvKWGz7oS-,ZfkOftkDNCw,72,8,72,47.4,5.3,47.4,Positive,2,"ai, tesla"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,08H8R6pNiXI,20,5,16,48.8,12.2,39.0,Positive,11,"network, driver assistance, tesla, range, charging, dc fast charging, infotainment, crossover, autopilot, battery, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,Z-CFXTgzirU,26,3,25,48.1,5.6,46.3,Positive,10,"tesla, range, electrify america, charging, infotainment, fast charging, crossover, warranty, autopilot, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,FrzTjVmAXmI,45,11,37,48.4,11.8,39.8,Positive,12,"self-driving, driver assistance, tesla, range, electrify america, charging, fast charging, crossover, autopilot, federal tax credit, charger, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,6-XUGVmh0MA,97,22,84,47.8,10.8,41.4,Positive,9,"tesla, range, charging, crossover, state of charge, warranty, rivian, touchscreen, battery"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,OftWSCNr40g,20,4,21,44.4,8.9,46.7,Positive,11,"network, driver assistance, self-driving, tesla, range, charging, infotainment, recall, autopilot, battery, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,pD1gBRxHEc8,51,11,40,50.0,10.8,39.2,Positive,15,"network, driver assistance, self-driving, tesla, range, electrify america, charging, supercharger, infotainment, fast charging, capacity, autopilot, rivian, battery, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,C3nc4gZ7fTg,39,9,45,41.9,9.7,48.4,Positive,9,"bidirectional charging, network, tesla, range, charging, fast charging, tesla supercharger, federal tax credit, battery"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,WAH_NDXBvp8,111,22,77,52.9,10.5,36.7,Positive,10,"horsepower, torque, tesla, range, infotainment, charging station, state of charge, autopilot, federal tax credit, rivian"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,dMjB-aNwwPQ,14,1,8,60.9,4.3,34.8,Positive,9,"network, self-driving, tesla, range, charging, fast charging, autopilot, battery, tax credit"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,sHgO_tzxU-g,19,6,26,37.3,11.8,51.0,Positive,11,"network, self-driving, tesla, range, charging, dc fast charging, mileage, infotainment, capacity, autopilot, battery"
E for Electric,PLXAbfWOvf5YuRkLiW3Tj6ZSIK0Zq6amxV,nkVS4Ao5wSM,17,0,8,68.0,0.0,32.0,Positive,9,"horsepower, torque, range, charging, all-wheel drive, capacity, battery, charger, tax credit"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,YtirJwXN7ow,46,16,59,38.0,13.2,48.8,Positive,2,"range, tesla"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,T5IJcjttlI0,92,23,84,46.2,11.6,42.2,Positive,10,"network, tesla, range, electrify america, charging, dc fast charging, supercharger, suv, rivian, battery"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,RyeCae8s7Lk,211,53,192,46.3,11.6,42.1,Positive,12,"network, ccs, tesla, electrify america, charging, supercharger, chargepoint, suv, state of charge, rivian, battery, charger"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,uo5d-j6t418,115,46,121,40.8,16.3,42.9,Positive,17,"battery swap, road trip, energy density, solid-state battery, tesla, range, lucid motors, electrify america, charging, supercharger, charging station, fast charging, battery, charge time, lithium-ion, charger, acceleration"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,MpVA_fkSnhI,236,60,161,51.6,13.1,35.2,Positive,8,"nhtsa, self-driving, tesla, charging, autopilot, rivian, adas, ai"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,FlpIgEY-bwU,198,84,225,39.1,16.6,44.4,Positive,5,"tesla, range, charging, battery, home charging"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,LMkTxSMBCEk,149,24,108,53.0,8.5,38.4,Positive,8,"self-driving, tesla, range, charging, recall, autopilot, autonomous driving, charger"
E for Electric,PLXAbfWOvf5Ytlrxe40n0F7dGvWkqRpHM1,tdqjxKy5VYA,285,120,324,39.1,16.5,44.4,Positive,12,"tesla, range, electrify america, charging, supercharger, infotainment, top speed, fast charging, capacity, autopilot, battery, charger"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,By1G_b7oRAc,117,20,102,49.0,8.4,42.7,Positive,20,"network, capacity, road trip, charging, degradation, fast charging, battery, self-driving, tesla, range, electrify america, chargepoint, charger, home charging, battery swap, supercharger, charging station, state of charge, tesla supercharger, charge time"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,2I300RpQl3c,37,3,12,71.2,5.8,23.1,Positive,13,"tesla, range, electrify america, charging, dc fast charging, charging station, supercharger, fast charging, chargepoint, smart charging, battery, charger, home charging"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,SAQpo7L9IWg,207,50,152,50.6,12.2,37.2,Positive,12,"network, ccs, tesla, range, electrify america, charging, supercharger, state of charge, charging speed, tesla supercharger, rivian, battery"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,CUwI3-JzpKQ,10,2,4,62.5,12.5,25.0,Positive,17,"network, ccs, bmw i3, tesla, range, electrify america, nissan leaf, dc fast charging, charging station, charging, fast charging, supercharger, suv, tesla supercharger, battery, plug-in hybrid, charger"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,8VfkOSbzN1c,172,37,173,45.0,9.7,45.3,Positive,0,
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,YeWq47CTDmE,27,4,16,57.4,8.5,34.0,Positive,8,"ccs, tesla, range, charging, state of charge, warranty, battery, charger"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,vp5qJlr4go0,590,57,454,53.6,5.2,41.2,Positive,0,
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,RyeCae8s7Lk,211,53,192,46.3,11.6,42.1,Positive,12,"network, ccs, tesla, electrify america, charging, supercharger, chargepoint, suv, state of charge, rivian, battery, charger"
E for Electric,PLXAbfWOvf5YtNes11pbNdgq3N5dbZg0Qy,xxpLykrmDA4,16,3,16,45.7,8.6,45.7,Positive,21,"network, dc fast charging, capacity, road trip, charging, degradation, fast charging, battery, self-driving, tesla, range, electrify america, ccs, charger, home charging, battery swap, supercharger, charging station, smart charging, tesla supercharger, charge time"
